1018453234;Nicolás;Peñalosa;nicolas.penanosa@udea.edu.co;28;3121237788
1020789988;Luis;Martínez;luismartinez@gmail.com;25;3123456789
1020789989;Ana;García;anagarcia@gmail.com;30;3134567890
1020789990;Carlos;Hernández;carloshernandez@gmail.com;22;3145678901
1020789991;María;López;maria.lopez@gmail.com;28;3156789012
1020789992;Diego;Torres;diego.torres@gmail.com;26;3167890123
1020789993;Laura;Ramírez;laura.ramirez@gmail.com;21;3178901234
1020789994;Andrés;Pérez;andres.perez@gmail.com;23;3189012345
1020789995;Valentina;Sánchez;valentina.sanchez@gmail.com;27;3190123456
1020789996;Fernando;Gómez;fernando.gomez@gmail.com;29;320123456712345678901;Ernesto;Pérez;ernesto.perez@udea.edu.co;18;3015149087
1238905734;Matt;Kandel;mateo.blandon@blandon.com;18;3129087
1019234456;Marco;Barrientos;marco.barrientos@barrientos.co;43;234567899
123454;Teodoro;Roosvelt;teodoro@roosvelt;66;6123456
